product_colour,generic_colour
Aegean Blue,Blue
Agate Green,Green
Alder Brown,Brown
Amaranth Purple,Purple
Amazon Green,Green
Animal,Animal Print
Apricot Ivory,Pink
Aqua,Blue
Aruba Green,Green
Atlantic Blue,Blue
Aubergine,Purple
Azure Blue,Blue
Bay Green,Green
Beet Red,Red
Begonia Red,Red
Beige,Beige
Beige Multi,Beige
Beige Suede,Beige
Berry,Red
Berry Purple,Purple
Black,Black
Black Blue,Black
Black Camel,Black
Black Cream,Black
Black Gold,Black
Black Green,Black
Black Grey,Black
Black Ivory,Black
Black Kyanite,Black
Black Multi,Black
Black Pearl,Black
Black Pink,Black
Black Raspberry,Black
Black Red,Black
Black Rhubarb,Black
Black Silver,Black
Black Stone,Black
Black Vicuna,Black
Black White,Black
Blue,Blue
Blue Burgundy,Blue
Blue Cream,Blue
Blue Gold,Blue
Blue Hobbs Navy,Navy
Blue Ivory,Blue
Blue Marl,Blue
Blue Multi,Blue
Blue Red,Blue
Blue Red Grey,Blue
Blue Skies,Blue
Blue White,Blue
Blush,Pink
Blush Pink,Pink
Bordeaux,Red
Bramble,Purple
Bramble Purple,Purple
Bright Geranium,Green
Bright Pink,Pink
Bright Sky Blue,Blue
Bright Yellow,Yellow
Brown,Brown
Brown Green,Green
Brown Ivory,Brown
Brown Multi,Brown
Brulee Multi,Brown
Buff Grey,Grey
Burgundy,Red
Burgundy Ivory,Red
Burnt Orange,Orange
Buttercream,White
Buttercream Blk,White
Buttercream Mul,White
Cadmium Green,Green
Camel,Brown
Camel Black,Brown
Camel Ivory,Brown
Camel Multi,Brown
Candy Marl,Pink
Carnation Pink,Pink
Celadon Blue,Blue
Celeste Blue,Blue
Cerise Pink,Pink
Chalk Beige,Beige
Champagne,Gold
Charcoal,Grey
Charcoal Grey,Grey
Charcoal Ivory,Grey
Charcoal Multi,Grey
Chartreuse Navy,Navy
Cherry Pink,Pink
Cherry Red,Red
Cherry Red Mlt,Red
Chocolate,Brown
Chocolate Brown,Brown
Cilantro Green,Green
Citrine Green,Green
Classic Vicuna,Brown
Clay Red Ivory,Red
Cobalt,Blue
Cobalt Blue,Blue
Cobalt Multi,Blue
Cocoa Brown,Brown
Coral Red Ivory,Red
Cornflower Blue,Blue
Cosmos Pink,Pink
Cranberry,Red
Cranberry Multi,Red
Cranberry Pink,Pink
Cranberry Red,Red
Cream,White
Cream Black,White
Cream Blue,Blue
Cream Camel,Brown
Cream Green,Green
Cream Midnight,White
Cream Multi,White
Cream Navy,Navy
Cream Pink,Pink
Cream Red Multi,Red
Crystal Blue,Blue
Currant Red,Red
Current Red,Red
Dahlia Purple,Purple
Dark Berry,Red
Dark Blue Ivory,Blue
Dark Brown,Brown
Dark Charcoal,Grey
Dark Coral,Pink
Dark Fern Green,Green
Dark Green,Green
Dark Grey Marl,Grey
Dark Ivy Green,Green
Dark Khaki,Green
Dark Midnight,Blue
Dark Olive,Green
Dark Pecan,Brown
Dark Raspberry,Red
Dark Red,Red
Dark Tan,Brown
Deep Apricot,Pink
Deep Aqua Green,Green
Deep Blue,Blue
Deep Blue Cream,Blue
Deep Blue Ivory,Blue
Deep Brown,Brown
Deep Cherry Red,Red
Deep Fuchsia,Pink
Deep Jade Blue,Blue
Deep Orange,Orange
Deep Pine Green,Green
Deep Pink,Pink
Deep Plum,Purple
Deep Purple,Purple
Deep Red,Red
Deep Sky Blue,Blue
Deep Teal Blue,Blue
Deep Vermillion,Red
Dusky Blue,Blue
Dusky Pink,Pink
Dusky Sage,Green
Dusted Pink,Pink
Dusted Purple,Purple
Dusty Rose,Pink
Eclipse Blue,Blue
Ecru Raspberry,Red
Egyptian Blue,Blue
Electric Blue,Blue
Evergreen,Green
Fawn,Brown
Fawn Beige,Beige
Field Green,Green
Fiesta Pink,Pink
Fjord Blue,Blue
Flame Red,Red
Floral Multi,Floral
Florentine Pink,Pink
Foliage Green,Green
Forest Green,Green
French Blue,Blue
Fresh Green,Green
Fresh Ivory,White
Fuchsia Multi,Pink
Fuchsia Pink,Pink
Garnet Red,Red
Geo Bramble,Purple
Geranium Pink,Pink
Gold,Gold
Gold Ivory,Gold
Gold Multi,Gold
Golden Yellow,Yellow
Grape Purple,Purple
Green,Green
Green Black,Green
Green Buttercrm,Green
Green Cream,Green
Green Ivory,Green
Green Marl,Green
Green Multi,Green
Green Navy,Navy
Green Navy Blue,Navy
Green Orange,Green
Green Pink,Green
Green Warm Clay,Green
Grey,Grey
Grey Black,Grey
Grey Blue,Blue
Grey Ivory,Grey
Grey Marl,Grey
Grey Multi,Grey
Hawthorn Green,Green
Hibiscus Red,Red
Hobbs Black,Black
Hobbs Camel,Brown
Hobbs Ivory,White
Hobbs Midnight,Blue
Hobbs Navy,Navy
Hobbs Navy Mult,Navy
Hobbs White,White
Holly Green,Green
Hot Magenta,Red
Hot Pink,Pink
Hyacinth Purple,Purple
Hydrangea Blue,Blue
Ice Blue,Blue
Imperial Blue,Blue
Indigo,Blue
Indigo Purple,Purple
Ink Blue,Blue
Ivory,White
Ivory Black,White
Ivory Blue,White
Ivory Brown,White
Ivory Green,White
Ivory Grey,White
Ivory Midnight,White
Ivory Multi,White
Ivory Navy,Navy
Ivory Pink,White
Ivory Plum,White
Ivory Red,White
Ivory Silver,White
Jade Green,Green
Jam Pink,Pink
Kelp Green,Green
Khaki Green,Green
Kyanite,Blue
Kyanite Blue,Blue
Kyanite Green,Green
Lagoon Blue,Blue
Lagoon Green,Green
Lapis Blue,Blue
Laurel Green,Green
Leopard,Animal Print
Light Beige,Beige
Light Blue,Blue
Light Camel,Brown
Light Green,Green
Light Indigo,Blue
Light Olive,Green
Light Wash,Blue
Lime,Green
Lime Green,Green
Lobelia Blue,Blue
Lush Green,Green
Lyons Blue,Blue
Magenta Pink,Pink
Magenta Purple,Purple
Mahogany Red,Red
Malachite Green,Green
Malbec,Red
Malbec Multi,Red
Malbec Purple,Purple
Maroon Purple,Purple
Meadow Green,Green
Medlar Brown,Brown
Metallic,Silver
Mid Blue,Blue
Mid Grey Marl,Grey
Mid Olive Ivory,Green
Mid Wash,Blue
Midnight,Blue
Midnight Blue,Blue
Midnight Ivory,Navy
Midnight Multi,Blue
Midnight Navy,Navy
Midnight Pink,Pink
Milky White,White
Mineral Blue,Blue
Mink,Brown
Mocha,Brown
Moss Green,Green
Mulberry,Red
Mulberry Purple,Purple
Multi,Multi-Coloured
Multi Damask,Multi-Coloured
Multi Spot,Multi-Coloured
Muscari Blue,Blue
Natural,Beige
Natural Black,Black
Natural Navy,Navy
Natural Tan,Beige
Navy,Navy
Navy Aegean,Navy
Navy Blue,Navy
Navy Blue Cream,Navy
Navy Blue Multi,Navy
Navy Burgundy,Navy
Navy Buttrcream,Navy
Navy Camel,Navy
Navy Cream,Navy
Navy Damask,Navy
Navy Fuchsia,Navy
Navy Green,Navy
Navy Ivory,Navy
Navy Multi,Navy
Navy Ochre,Navy
Navy Orange,Navy
Navy Pale Pink,Navy
Navy Pink,Navy
Navy Pink Multi,Navy
Navy Raspberry,Navy
Navy Twilight,Navy
Navy Velvet,Navy
Navy Warm Ivory,Navy
Navy Yellow,Navy
Neutral,Beige
New Blue,Blue
New Green,Green
New Neutral,Beige
Nude,Beige
Oatmeal,Beige
Oatmeal Marl,Beige
Ocean Green,Green
Ochre,Yellow
Ochre Multi,Yellow
Olive,Green
Olive Green,Green
Olive Ivory,Green
Olive White,Green
Orange,Orange
Orange Navy,Navy
Orchard Green,Green
Oregano Green,Green
Oxblood,Red
Oyster,White
Oyster Multi,White
Pale Blue,Blue
Pale Blue Multi,Blue
