id,name,code
1000,English,en
1001,German,de
1002,French,fr
1003,Spanish,es
1004,Italian,it
1005,Japanese,ja
1006,English (US),en_US
1007,English (UK),en_GB
1008,Chinese,zh
1009,Danish,da
1010,Dutch,nl
1011,Finnish,fi
1012,Korean,ko
1013,Norwegian,no
1014,Portuguese,pt
1015,Swedish,sv
1016,Portuguese (Brazil),pt_BR
1017,Chinese (simplified),zh_CN
1018,Chinese (traditional),zh_TW
1019,Arabic,ar
1020,Bulgarian,bg
1021,Czech,cs
1022,Greek,el
1023,Hindi,hi
1024,Hungarian,hu
1025,Indonesian,id
1026,Icelandic,is
1027,Hebrew,iw
1028,Latvian,lv
1029,Lithuanian,lt
1030,Polish,pl
1031,Russian,ru
1032,Romanian,ro
1033,Slovak,sk
1034,Slovenian,sl
1035,Serbian,sr
1036,Ukrainian,uk
1037,Turkish,tr
1038,Catalan,ca
1039,Croatian,hr
1040,Vietnamese,vi
1041,Urdu,ur
1042,Filipino,tl
1043,Estonian,et
1044,Thai,th
1045,Afar,aa
1046,Abkhazian,ab
1047,Afrikaans,af
1048,Amharic,am
1049,Assamese,as
1050,Aymara,ay
1051,Azerbaijani,az
1052,Bashkir,ba
1053,Belarusian,be
1054,Bihari,bh
1055,Bislama,bi
1056,Bengali,bn
1057,Tibetan,bo
1058,Breton,br
1059,Corsican,co
1060,Welsh,cy
1061,Norwegian Nynorsk,nn
1062,Esperanto,eo
1063,Basque,eu
1064,Persian,fa
1065,Fijian,fj
1066,Faroese,fo
1067,Western Frisian,fy
1068,Irish,ga
1069,Scottish Gaelic,gd
1070,Galician,gl
1071,Guarani,gn
1072,Gujarati,gu
1073,Manx,gv
1074,Hausa,ha
1075,Bosnian,bs
1076,Armenian,hy
1077,Interlingua,ia
1078,Interlingue,ie
1079,Inupiaq,ik
1080,Inuktitut,iu
1081,Javanese,jv
1082,Georgian,ka
1083,Kazakh,kk
1084,Greenlandic,kl
1085,Khmer,km
1086,Kannada,kn
1087,Kashmiri,ks
1088,Kurdish,ku
1089,Cornish,kw
1090,Kirghiz,ky
1091,Latin,la
1092,Luxembourgish,lb
1093,Lingala,ln
1094,Lao,lo
1095,Malagasy,mg
1096,Maori,mi
1097,Macedonian,mk
1098,Malayalam,ml
1099,Mongolian,mn
1100,Moldavian,mo
1101,Marathi,mr
1102,Malay,ms
1103,Maltese,mt
1104,Burmese,my
1105,Nauru,na
1106,Nepali,ne
1107,Occitan,oc
1108,(Afan) Oromo,om
1109,Oriya,or
1110,Punjabi,pa
1111,Pushto,ps
1112,Quechua,qu
1113,Raeto-Romance,rm
1114,Rundi,rn
1115,Kinyarwanda,rw
1116,Sanskrit,sa
1117,Sindhi,sd
1118,Northern Sámi,se
1119,Sango,sg
1120,Zulu,zu
1121,Sinhalese,si
1122,Samoan,sm
1123,Shona,sn
1124,Somali,so
1125,Albanian,sq
1126,Swati,ss
1127,Sotho,st
1128,Sundanese,su
1129,Swahili,sw
1130,Tamil,ta
1131,Telugu,te
1132,Tajik,tg
1133,Tigrinya,ti
1134,Turkmen,tk
1135,Tswana,tn
1136,Tonga,to
1137,Tsonga,ts
1138,Tatar,tt
1139,Twi,tw
1140,Uighur,ug
1141,Uzbek,uz
1142,Volapük,vo
1143,Wolof,wo
1144,Xhosa,xh
1145,Yiddish,yi
1146,Yoruba,yo
1147,Zhuang,za
1148,English (Australia),en_AU
1149,Portuguese (Portugal),pt_PT
1150,Chinese (Hong Kong SAR),zh_HK
